Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,Lng,Y/Tgt,R/G,Y/G,Fmb
57,Stefon Diggs\DiggSt00,MIN,26,WR,6,6,34,23,67.6%,420,18.3,4,62,12.4,3.8,70.0,2
58,Will Dissly\DissWi00,SEA,23,TE,6,6,27,23,85.2%,262,11.4,4,38,9.7,3.8,43.7,1
59,Aaron Jones\JoneAa00,GNB,25,RB,6,6,30,23,76.7%,163,7.1,0,22,5.4,3.8,27.2,2
60,Terry McLaurin\McLaTe00,WAS,23,WR,5,5,38,23,60.5%,408,17.7,5,69,10.7,4.6,81.6,0
61,Curtis Samuel\SamuCu00,CAR,23,WR,6,6,43,23,53.5%,297,12.9,2,44,6.9,3.8,49.5,0
62,Sammy Watkins\WatkSa00,KAN,26,WR,5,5,38,23,60.5%,365,15.9,3,68,9.6,4.6,73.0,2
63,Greg Olsen\OlseGr00,CAR,34,TE,6,6,38,22,57.9%,278,12.6,2,41,7.3,3.7,46.3,0
64,Jason Witten\WittJa00,DAL,37,TE,6,6,27,22,81.5%,230,10.5,2,33,8.5,3.7,38.3,1
65,Marquise Brown\BrowMa04,BAL,22,WR,5,4,39,21,53.8%,326,15.5,3,83,8.4,4.2,65.2,0
66,Royce Freeman\FreeRo00,DEN,23,,6,0,26,21,80.8%,145,6.9,0,19,5.6,3.5,24.2,0
67,Adam Humphries\HumpAd00,TEN,26,WR,6,3,27,21,77.8%,189,9.0,0,30,7.0,3.5,31.5,1
68,Delanie Walker\WalkHu00,TEN,35,TE,6,4,31,21,67.7%,215,10.2,2,29,6.9,3.5,35.8,1
69,Nick Chubb\ChubNi00,CLE,24,RB,6,6,26,20,76.9%,128,6.4,0,30,4.9,3.3,21.3,1
70,Tarik Cohen\CoheTa00,CHI,24,RB,5,4,31,20,64.5%,128,6.4,1,24,4.1,4.0,25.6,0
71,Gerald Everett\EverGe00,LAR,25,te,6,2,31,20,64.5%,232,11.6,1,32,7.5,3.3,38.7,0
72,Josh Gordon\GordJo02,NWE,28,WR,6,6,36,20,55.6%,287,14.4,1,44,8.0,3.3,47.8,0
73,Diontae Johnson\JohnDi01,PIT,23,WR,6,4,31,20,64.5%,212,10.6,2,43,6.8,3.3,35.3,2
74,Marvin Jones\JoneMa02,DET,29,WR,5,4,29,20,69.0%,294,14.7,1,33,10.1,4.0,58.8,0
75,Trey Quinn\QuinTr00,WAS,24,WR,6,3,32,20,62.5%,135,6.8,1,14,4.2,3.3,22.5,1
76,Paul Richardson\RichPa01,WAS,27,WR,6,4,30,20,66.7%,163,8.2,2,22,5.4,3.3,27.2,0
77,Chris Carson\CarsCh00,SEA,25,RB,6,6,21,19,90.5%,140,7.4,2,21,6.7,3.2,23.3,3
78,Kenyan Drake\DrakKe00,MIA,25,rb,5,2,29,19,65.5%,137,7.2,0,19,4.7,3.8,27.4,2
79,Phillip Lindsay\LindPh00,DEN,25,RB,6,6,26,19,73.1%,147,7.7,0,36,5.7,3.2,24.5,0
80,Auden Tate\TateAu00,CIN,22,WR,5,4,36,19,52.8%,261,13.7,1,32,7.3,3.8,52.2,1
81,Marquez Valdes-Scantling\ValdMa00,GNB,25,WR,6,6,34,19,55.9%,283,14.9,1,47,8.3,3.2,47.2,0
82,Mike Williams\WillMi07,LAC,25,WR,5,5,38,19,50.0%,303,15.9,0,47,8.0,3.8,60.6,0
83,Ezekiel Elliott\ElliEz00,DAL,24,RB,6,6,23,18,78.3%,139,7.7,0,27,6.0,3.0,23.2,1
84,Nyheim Hines\HineNy00,IND,23,rb,5,1,21,18,85.7%,120,6.7,0,18,5.7,3.6,24.0,0
85,Randall Cobb\CobbRa00,DAL,29,wr,5,2,27,17,63.0%,210,12.4,1,32,7.8,3.4,42.0,0
86,Demarcus Robinson\RobiDe01,KAN,25,WR,6,5,31,17,54.8%,281,16.5,3,44,9.1,2.8,46.8,0
87,Preston Williams\WillPr01,MIA,22,WR,5,5,36,17,47.2%,232,13.6,1,25,6.4,3.4,46.4,1
88,Tyrell Williams\WillTy00,OAK,27,WR,4,4,24,17,70.8%,216,12.7,4,43,9.0,4.3,54.0,0
89,Robby Anderson\AndeRo04,NYJ,26,WR,5,5,29,16,55.2%,256,16.0,1,92,8.8,3.2,51.2,0
90,Corey Davis\DaviCo03,TEN,24,WR,6,3,27,16,59.3%,237,14.8,1,25,8.8,2.7,39.5,1
91,Ted Ginn\GinnTe00,NOR,34,WR,6,4,25,16,64.0%,206,12.9,1,41,8.2,2.7,34.3,0
92,Mecole Hardman\HardMe00,KAN,21,wr,6,2,27,16,59.3%,291,18.2,2,83,10.8,2.7,48.5,1
93,Tyler Higbee\HigbTy00,LAR,26,TE,5,5,21,16,76.2%,154,9.6,1,20,7.3,3.2,30.8,0
94,KeeSean Johnson\JohnKe07,ARI,23,WR,6,3,31,16,51.6%,145,9.1,0,31,4.7,2.7,24.2,0
95,D.K. Metcalf\MetcDK00,SEA,22,WR,6,5,31,16,51.6%,336,21.0,2,54,10.8,2.7,56.0,0
96,Dare Ogunbowale\OgunDa00,TAM,25,,6,0,21,16,76.2%,130,8.1,0,21,6.2,2.7,21.7,0
97,John Ross\RossJo00,CIN,25,WR,4,4,32,16,50.0%,328,20.5,3,66,10.3,4.0,82.0,1
